@relation EuroExchangeRates

@attribute Date {4/30/2007,4/27/2007,4/26/2007,4/25/2007,4/24/2007,4/23/2007,4/20/2007,4/19/2007,4/18/2007,4/17/2007,4/16/2007,4/13/2007,4/12/2007,4/11/2007,4/10/2007,4/5/2007,4/4/2007,4/3/2007,4/2/2007}
@attribute USD numeric
@attribute JPY numeric
@attribute CYP numeric
@attribute CZK numeric
@attribute DKK numeric
@attribute EEK numeric
@attribute GBP numeric
@attribute HUF numeric
@attribute LTL numeric
@attribute LVL numeric
@attribute MTL numeric
@attribute PLN numeric
@attribute SEK numeric
@attribute SKK numeric
@attribute CHF numeric
@attribute ISK numeric
@attribute NOK numeric
@attribute AUD numeric
@attribute CAD numeric
@attribute HKD numeric
@attribute KRW numeric
@attribute NZD numeric
@attribute SGD numeric
@attribute ZAR numeric

@data
4/30/2007,1.3605,162.82,0.5826,28.123,7.4505,15.6466,0.6827,247.18,3.4528,0.6978,0.4293,3.781,9.1523,33.727,1.6458,87.44,8.1265,1.6427,1.5187,10.6396,1266.49,1.8393,2.0679,9.5946
4/27/2007,1.3643,162.76,0.5821,28.166,7.4501,15.6466,0.68225,245.98,3.4528,0.698,0.4293,3.7786,9.1435,33.655,1.6431,87.67,8.138,1.6423,1.5235,10.6701,1267.64,1.8385,2.0683,9.5915
4/26/2007,1.3596,162.26,0.5821,28.115,7.4507,15.6466,0.68215,245.88,3.4528,0.6979,0.4293,3.7744,9.152,33.579,1.6432,87.66,8.1185,1.6409,1.5236,10.6343,1263,1.8405,2.0597,9.5143
4/25/2007,1.3649,161.95,0.582,28.106,7.4511,15.6466,0.681,246.3,3.4528,0.7,0.4293,3.7864,9.1746,33.655,1.6416,87.34,8.164,1.6405,1.5298,10.6702,1264.92,1.8321,2.0629,9.5817
4/24/2007,1.3582,161.39,0.582,28.065,7.4522,15.6466,0.6793,245.84,3.4528,0.6995,0.4293,3.7872,9.193,33.655,1.6387,87.58,8.103,1.6424,1.5223,10.6154,1259.39,1.8305,2.0566,9.6035
4/23/2007,1.3557,160.91,0.5817,28.026,7.4521,15.6466,0.678,245.13,3.4528,0.7016,0.4293,3.7798,9.1979,33.533,1.6423,87.58,8.107,1.6277,1.5225,10.5946,1255.58,1.821,2.0514,9.5538
4/20/2007,1.3606,161.45,0.5817,28.033,7.4523,15.6466,0.6793,245.63,3.4528,0.7029,0.4293,3.7917,9.1953,33.456,1.6414,87.92,8.1075,1.629,1.5334,10.6319,1261.89,1.8266,2.0559,9.5405
4/19/2007,1.3601,160.13,0.5813,28.02,7.4527,15.6466,0.6793,247.02,3.4528,0.7042,0.4293,3.8097,9.2195,33.566,1.6343,88.41,8.1075,1.6336,1.5312,10.6268,1263.87,1.8367,2.0554,9.6564
4/18/2007,1.3577,160.77,0.5813,27.992,7.4536,15.6466,0.6773,246.1,3.4528,0.704,0.4293,3.8078,9.2176,33.458,1.6367,88.44,8.11,1.6291,1.5386,10.6045,1261.3,1.8342,2.0519,9.595
4/17/2007,1.3549,161.81,0.5813,27.964,7.4552,15.6466,0.6763,245.7,3.4528,0.7033,0.4293,3.8161,9.2204,33.436,1.6406,88.44,8.079,1.6215,1.5333,10.5845,1259.04,1.8231,2.0504,9.6314
4/16/2007,1.355,161.96,0.5812,27.963,7.4545,15.6466,0.68055,245.16,3.4528,0.7031,0.4293,3.818,9.224,33.36,1.6431,88.5,8.0925,1.6249,1.5352,10.5866,1260.9,1.831,2.0507,9.6497
4/13/2007,1.3532,160.55,0.5811,27.965,7.4551,15.6466,0.6809,245.87,3.4528,0.7058,0.4293,3.838,9.2823,33.497,1.6361,88.75,8.0985,1.6249,1.5351,10.5734,1256.78,1.8354,2.0508,9.7438
4/12/2007,1.3467,160.62,0.5811,27.963,7.4557,15.6466,0.6807,245.55,3.4528,0.7059,0.4293,3.834,9.258,33.428,1.6404,88.74,8.0885,1.6304,1.5328,10.5244,1254.11,1.8497,2.0443,9.6643
4/11/2007,1.3418,160,0.5811,28.003,7.4548,15.6466,0.6788,245.23,3.4528,0.7055,0.4293,3.8284,9.257,33.397,1.6382,89.1,8.093,1.6263,1.5348,10.4843,1251.16,1.8422,2.035,9.565
4/10/2007,1.3426,160.05,0.5811,27.95,7.456,15.6466,0.6803,245.78,3.4528,0.7058,0.4293,3.8443,9.2826,33.474,1.6361,89.84,8.106,1.6283,1.5424,10.4902,1254.32,1.8471,2.0384,9.5828
4/5/2007,1.3373,159,0.5811,27.943,7.4542,15.6466,0.6797,245.64,3.4528,0.7075,0.4293,3.8385,9.2715,33.427,1.6309,89.5,8.133,1.6351,1.541,10.4525,1247.1,1.8499,2.0251,9.5589
4/4/2007,1.3352,158.7,0.5812,27.933,7.454,15.6466,0.67665,246.12,3.4528,0.7083,0.4293,3.851,9.3355,33.474,1.6292,88.93,8.1675,1.6413,1.5441,10.4358,1250.21,1.859,2.0224,9.5879
4/3/2007,1.3358,158.53,0.5812,28.011,7.4514,15.6466,0.6761,246.89,3.4528,0.7084,0.4293,3.8536,9.3631,33.267,1.6275,88.66,8.17,1.6409,1.5467,10.4392,1251.31,1.8538,2.0285,9.642
4/2/2007,1.3366,157.35,0.581,27.94,7.4503,15.6466,0.6761,246.95,3.4528,0.7082,0.4293,3.8544,9.367,33.286,1.6226,88.27,8.1585,1.6371,1.5459,10.4462,1252.86,1.8571,2.0292,9.7127
